strategy,fraction_targeted,cumulative_uplift
X-learner CATE,1311276.0,3007.9219380691047
X-learner CATE,1314071.0,3007.657653950034
X-learner CATE,1316883.0,3007.592418381074
X-learner CATE,1319687.0,3008.4711480736055
X-learner CATE,1322553.0,3009.506415959085
X-learner CATE,1325457.0,3009.9554660295357
X-learner CATE,1328323.0,3010.210418914762
X-learner CATE,1331377.0,3011.290136309854
X-learner CATE,1334397.0,3011.9031128900415
X-learner CATE,1337148.0,3012.473899042562
X-learner CATE,1339862.0,3007.704217725725
X-learner CATE,1342581.0,3009.222893738282
X-learner CATE,1345324.0,3003.2291703577043
X-learner CATE,1348128.0,3003.442904160258
X-learner CATE,1350915.0,3000.128065900079
X-learner CATE,1353736.0,3002.738840360679
X-learner CATE,1356566.0,3004.373215484212
X-learner CATE,1359370.0,3005.4400387979963
X-learner CATE,1362180.0,3005.476785380853
X-learner CATE,1364970.0,3006.7562847597706
X-learner CATE,1367754.0,3007.205555808389
X-learner CATE,1370551.0,3010.455700992657
X-learner CATE,1373329.0,3012.070799110931
X-learner CATE,1376128.0,3013.1285540135736
X-learner CATE,1378903.0,3013.959570101345
X-learner CATE,1381680.0,3013.3987979256167
X-learner CATE,1384452.0,3013.14086074145
X-learner CATE,1387255.0,3017.1070063482944
X-learner CATE,1390021.0,3018.352898624497
X-learner CATE,1392777.0,3019.8618977450783
X-learner CATE,1395542.0,3019.3992631944416
X-learner CATE,1398322.0,3019.7476877755653
X-learner CATE,1401145.0,3020.2514587864944
X-learner CATE,1403959.0,3022.955727164741
X-learner CATE,1406742.0,3024.262777919259
X-learner CATE,1409554.0,3025.31773377588
X-learner CATE,1412341.0,3025.618013591011
X-learner CATE,1415134.0,3026.0215341248
X-learner CATE,1417920.0,3027.631706960262
X-learner CATE,1420719.0,3027.8324131819168
X-learner CATE,1423499.0,3030.2359512027797
X-learner CATE,1426284.0,3030.435718350782
X-learner CATE,1429117.0,3030.33095042862
X-learner CATE,1431931.0,3031.0171291052466
X-learner CATE,1434741.0,3030.7930663175425
X-learner CATE,1437536.0,3030.841881922868
X-learner CATE,1440310.0,3031.9170103189326
X-learner CATE,1443102.0,3033.043509725163
X-learner CATE,1445898.0,3033.744551124208
X-learner CATE,1448727.0,3035.489341050439
X-learner CATE,1451525.0,3036.1098722430456
X-learner CATE,1454336.0,3036.5668319507763
X-learner CATE,1457141.0,3031.012205043216
X-learner CATE,1459923.0,3031.149238629262
X-learner CATE,1462735.0,3031.9204824250965
X-learner CATE,1465528.0,3035.1622538997813
X-learner CATE,1468320.0,3035.2469092532588
X-learner CATE,1471127.0,3035.065392580605
X-learner CATE,1473917.0,3036.4632241921117
X-learner CATE,1476719.0,3031.5488468475232
X-learner CATE,1479484.0,3031.9190171720948
X-learner CATE,1482242.0,3032.6097786796195
X-learner CATE,1485021.0,3034.8527286151457
X-learner CATE,1487818.0,3034.5535633798986
X-learner CATE,1490612.0,3034.3972672843583
X-learner CATE,1493380.0,3035.5420037098747
X-learner CATE,1496098.0,3035.108628112709
X-learner CATE,1498926.0,3035.86947490106
X-learner CATE,1501711.0,3036.640070827883
X-learner CATE,1504547.0,3038.0587847169063
X-learner CATE,1507355.0,3037.424593246425
X-learner CATE,1510180.0,3038.694726981021
X-learner CATE,1512983.0,3039.0269135860935
X-learner CATE,1515794.0,3040.965425581511
X-learner CATE,1518583.0,3039.9523299140433
X-learner CATE,1521365.0,3040.0055639071234
X-learner CATE,1524153.0,3040.685077928046
X-learner CATE,1526955.0,3040.799632368613
X-learner CATE,1529707.0,3043.095884860576
X-learner CATE,1532472.0,3044.8942734011534
X-learner CATE,1535230.0,3045.5475432413546
X-learner CATE,1537998.0,3046.1832599162185
X-learner CATE,1540745.0,3046.204602111861
X-learner CATE,1543500.0,3046.896334771178
X-learner CATE,1546221.0,3047.5351623309475
X-learner CATE,1548952.0,3048.4868915504467
X-learner CATE,1551671.0,3048.603095704563
X-learner CATE,1554388.0,3048.8346539326685
X-learner CATE,1557141.0,3049.041326764949
X-learner CATE,1559896.0,3049.116510775812
X-learner CATE,1562644.0,3050.4072771819056
X-learner CATE,1565362.0,3051.973575844586
X-learner CATE,1568082.0,3052.5358213809227
X-learner CATE,1570799.0,3052.354668825106
X-learner CATE,1573514.0,3052.725734867036
X-learner CATE,1576231.0,3051.702217829368
X-learner CATE,1578948.0,3052.458154134817
